bus,sub,time,KV,region,area,coordinates,VOLTAGE,NAME,gisType,kvBase,PU,styleColor,styleOpacity,styleWeight
1061,12S,2026-07-12T01:21:38,251.1295623779297,EE,33,"-113.23536280240343,53.85446389956327",240/500,Heartland,Point,240,1.046,red,0.3,8
1206,12S,2026-07-12T01:21:38,536.7000122070312,EE,33,"-113.22190876362353,53.851632621867104",240/500,Heartland,Point,500,1.073,blue,0.367,8
1212,12S,2026-07-12T01:21:38,535.7999877929688,EE,33,"-113.22506476102487,53.85612257842753",240/500,Heartland,Point,500,1.072,blue,0.358,8
12L70,12S,2026-07-12T01:21:38,536.2000122070312,EE,33,"-113.23111999303113,53.867390775903075",240/500,Heartland,Point,500,1.072,blue,0.362,8
12L85,12S,2026-07-12T01:21:38,535.7000122070312,EE,33,"-113.23119156885278,53.8675385868364",240/500,Heartland,Point,500,1.071,blue,0.357,8
2AB1,12S,2026-07-12T01:21:38,251.12001037597656,EE,33,"-113.22564582659794,53.85356923659757",240/500,Heartland,Point,240,1.046,red,0.3,8
5AB1,12S,2026-07-12T01:21:38,537.2000122070312,EE,33,"-113.22425745275375,53.86305721260191",240/500,Heartland,Point,500,1.074,blue,0.372,8
5AB2,12S,2026-07-12T01:21:38,537.8999633789062,EE,33,"-113.22886666048268,53.85547586352365",240/500,Heartland,Point,500,1.076,blue,0.379,8
138A,134S,2026-07-12T01:21:38,141.09999084472656,SE,52,"-111.95718424912017,49.699119498794204",138,Taber Wind Farm,Point,138,1.022,green,0.3,8
138KV_SETPOINT,134S,2026-07-12T01:21:38,141.8000030517578,SE,52,"-111.95205337531364,49.70452636432032",138,Taber Wind Farm,Point,138,1.028,green,0.3,8
25A,134S,2026-07-12T01:21:38,25.0,SE,52,"-111.9513033972281,49.6949662254683",138,Taber Wind Farm,Point,25,1,grey,0.3,8
25B,134S,2026-07-12T01:21:38,0.0,SE,52,"-111.93799497560292,49.69915363572461",138,Taber Wind Farm,Point,25,0,grey,0.3,8
138B2,135S,2026-07-12T01:21:38,140.48001098632812,SE,52,"-111.96830962206812,49.52815803838565",138,Conrad,Point,138,1.018,green,0.3,8
CRD1,135S,2026-07-12T01:21:38,25.899999618530273,SE,52,"-111.96549624163335,49.53324688695477",138,Conrad,Point,25,1.036,grey,0.3,8
CRD2,135S,2026-07-12T01:21:38,25.899999618530273,SE,52,"-111.96387525971456,49.53404150006542",138,Conrad,Point,25,1.036,grey,0.3,8
138A,137S,2026-07-12T01:21:38,143.1383819580078,EC,32,"-111.70827978250625,52.77882874710428",138,Sedgewick,Point,138,1.037,green,0.3,8
4_A,137S,2026-07-12T01:21:38,25.899999618530273,EC,32,"-111.71721914503529,52.77723507891621",138,Sedgewick,Point,25,1.036,grey,0.3,8
1037L,138S,2026-07-12T01:21:38,253.20001220703125,SW,53,"-113.49412450923377,49.64937450052804",138/240,Windy Flats,Point,240,1.055,red,0.3,8
1038L,138S,2026-07-12T01:21:38,253.260009765625,SW,53,"-113.4907588750391,49.65101968945851",138/240,Windy Flats,Point,240,1.055,red,0.3,8
1048L,138S,2026-07-12T01:21:38,253.20001220703125,SW,53,"-113.48344338040675,49.65036563601399",138/240,Windy Flats,Point,240,1.055,red,0.3,8
1049L,138S,2026-07-12T01:21:38,253.04000854492188,SW,53,"-113.48828457777144,49.64668962165599",138/240,Windy Flats,Point,240,1.054,red,0.3,8
138KV_BUS,138S,2026-07-12T01:21:38,0.0,SW,53,"-113.49008360778193,49.645528625091366",138/240,Windy Flats,Point,25,0,grey,0.3,8
138_B2,138S,2026-07-12T01:21:38,141.8000030517578,SW,53,"-113.49939735226283,49.64197709413775",138/240,Windy Flats,Point,138,1.028,green,0.3,8
240_B1,138S,2026-07-12T01:21:38,252.89999389648438,SW,53,"-113.48416517615524,49.645714922422385",138/240,Windy Flats,Point,240,1.054,red,0.3,8
240_B2,138S,2026-07-12T01:21:38,252.89767456054688,SW,53,"-113.50068200021602,49.649846926990776",138/240,Windy Flats,Point,240,1.054,red,0.3,8
967L,138S,2026-07-12T01:21:38,253.12982177734375,SW,53,"-113.48373891846886,49.63872364727563",138/240,Windy Flats,Point,240,1.055,red,0.3,8
968L,138S,2026-07-12T01:21:38,252.99127197265625,SW,53,"-113.5011813668278,49.6434185035668",138/240,Windy Flats,Point,240,1.054,red,0.3,8
1054L,13S,2026-07-12T01:21:38,251.8692626953125,EE,33,"-112.90417165600611,53.8643781638855",138/240,Deerland,Point,240,1.049,red,0.3,8
1381,13S,2026-07-12T01:21:38,141.5466766357422,EE,33,"-112.88594683541491,53.86722603927621",138/240,Deerland,Point,138,1.026,green,0.3,8
1382,13S,2026-07-12T01:21:38,141.5082244873047,EE,33,"-112.90157318529315,53.8553415175915",138/240,Deerland,Point,138,1.025,green,0.3,8
2401,13S,2026-07-12T01:21:38,251.7593994140625,EE,33,"-112.90451701095132,53.861197145021364",138/240,Deerland,Point,240,1.049,red,0.3,8
2402,13S,2026-07-12T01:21:38,251.47373962402344,EE,33,"-112.89748732474541,53.85375567495831",138/240,Deerland,Point,240,1.048,red,0.3,8
943L,13S,2026-07-12T01:21:38,251.30276489257812,EE,33,"-112.9001712945718,53.848640199705194",138/240,Deerland,Point,240,1.047,red,0.3,8
138A,140S,2026-07-12T01:21:38,142.7387237548828,EE,27,"-111.8335856696665,54.78422726004346",138,Thompson,Point,138,1.034,green,0.3,8
138A,146S,2026-07-12T01:21:38,143.0500030517578,SW,54,"-112.7701354727792,49.71212622869079",138,Macdonald,Point,138,1.037,green,0.3,8
138B,146S,2026-07-12T01:21:38,142.97000122070312,SW,54,"-112.78534583515705,49.711784646612585",138,Macdonald,Point,138,1.036,green,0.3,8
138A,14S,2026-07-12T01:21:38,142.97000122070312,WE,60,"-113.71747155570313,53.35329184755243",138,Devon,Point,138,1.036,green,0.3,8
25_A,14S,2026-07-12T01:21:38,25.77199935913086,WE,60,"-113.72473079546002,53.34809854056892",138,Devon,Point,25,1.031,grey,0.3,8
138A,150S,2026-07-12T01:21:38,142.72000122070312,EE,27,"-113.63301313849654,54.14830151586807",138,Clyde,Point,138,1.034,green,0.3,8
25_B,150S,2026-07-12T01:21:38,26.072998046875,EE,27,"-113.63117602434586,54.13635942470689",138,Clyde,Point,25,1.043,grey,0.3,8
138A,151S,2026-07-12T01:21:38,141.09999084472656,CY,45,"-113.38441675969072,51.03494149261938",138,Strathmore,Point,138,1.022,green,0.3,8
2506,151S,2026-07-12T01:21:38,26.100000381469727,CY,45,"-113.37270875258743,51.03315115532993",138,Strathmore,Point,25,1.044,grey,0.3,8
2511,151S,2026-07-12T01:21:38,26.0,CY,45,"-113.37432091313072,51.03820937913208",138,Strathmore,Point,25,1.04,grey,0.3,8
1099L_1,154S,2026-07-12T01:21:38,259.3699951171875,FM,25,"-110.85913737421777,55.56832408095166",240,Black Spruce,Point,240,1.081,red,0.404,8
1115L,154S,2026-07-12T01:21:38,258.59283447265625,FM,25,"-110.84769371380223,55.56691271825973",240,Black Spruce,Point,240,1.077,red,0.387,8
1118L_10A,154S,2026-07-12T01:21:38,258.76568603515625,FM,25,"-110.8467285140996,55.57826453407761",240,Black Spruce,Point,240,1.078,red,0.391,8
971L_20A,154S,2026-07-12T01:21:38,258.3335876464844,FM,25,"-110.85838120470927,55.56840099649898",240,Black Spruce,Point,240,1.076,red,0.382,8
1381,155S,2026-07-12T01:21:38,142.65966796875,WE,60,"-113.51097383031829,53.35532142171205",138,Blackmud,Point,138,1.034,green,0.3,8
25B1,155S,2026-07-12T01:21:38,26.277009963989258,WE,60,"-113.50403523968168,53.35445770197879",138,Blackmud,Point,25,1.051,grey,0.3,8
25B2,155S,2026-07-12T01:21:38,26.02747917175293,WE,60,"-113.50734475875394,53.34557555654879",138,Blackmud,Point,25,1.041,grey,0.3,8
1381,157S,2026-07-12T01:21:38,141.8966522216797,EE,27,"-111.9845760142453,54.728132354314845",138,Lac La Biche,Point,138,1.028,green,0.3,8
1382,157S,2026-07-12T01:21:38,142.10000610351562,EE,27,"-111.97063947850907,54.73332238464092",138,Lac La Biche,Point,138,1.03,green,0.3,8
25_A,157S,2026-07-12T01:21:38,0.0,EE,27,"-111.97694867631995,54.731128732670186",138,Lac La Biche,Point,25,0,grey,0.3,8
138A,158S,2026-07-12T01:21:38,139.6300048828125,SE,52,"-112.12157350713903,50.10578328797051",138,Vauxhall,Point,138,1.012,green,0.3,8
25_A,158S,2026-07-12T01:21:38,26.0,SE,52,"-112.1116696461939,50.10419176833007",138,Vauxhall,Point,25,1.04,grey,0.3,8
138_B1,159S,2026-07-12T01:21:38,141.6300048828125,EE,27,"-113.30518804954254,54.62795128473639",138,Colinton,Point,138,1.026,green,0.3,8
138_1,15S,2026-07-12T01:21:38,141.82000732421875,SW,53,"-113.38133991732053,49.718166259126086",138,Fort Macleod,Point,138,1.028,green,0.3,8
138_2,15S,2026-07-12T01:21:38,141.8100128173828,SW,53,"-113.38384478235109,49.725284112452094",138,Fort Macleod,Point,138,1.028,green,0.3,8
725L,15S,2026-07-12T01:21:38,141.8546905517578,SW,53,"-113.38355010544731,49.7200498502162",138,Fort Macleod,Point,138,1.028,green,0.3,8
1002,163S,2026-07-12T01:21:38,253.9816131591797,SE,48,"-110.03294458068441,50.67718645820732",138/240,Amoco Empress,Point,240,1.058,red,0.3,8
138A,163S,2026-07-12T01:21:38,141.6129913330078,SE,48,"-110.03077060458034,50.67582708071386",138/240,Amoco Empress,Point,138,1.026,green,0.3,8
13A,163S,2026-07-12T01:21:38,14.433999061584473,SE,48,"-110.0218319348505,50.67316938612049",138/240,Amoco Empress,Point,25,0.577,grey,0.3,8
13B,163S,2026-07-12T01:21:38,14.455999374389648,SE,48,"-110.03457221352011,50.680357472761045",138/240,Amoco Empress,Point,25,0.578,grey,0.3,8
13C,163S,2026-07-12T01:21:38,14.421998977661133,SE,48,"-110.03098344266448,50.67503681363685",138/240,Amoco Empress,Point,25,0.577,grey,0.3,8
13D,163S,2026-07-12T01:21:38,14.374999046325684,SE,48,"-110.01675595179796,50.67819627573883",138/240,Amoco Empress,Point,25,0.575,grey,0.3,8
